tradeDate,buyReturn,holdReturn,netReturn,000001.SH,000300.SH,000905.SH,000016.SH
20170627,0.004696223,0.002805672,0.003750948,0.001806259,0.001805305,0.000249624,0.00447464
20170628,-0.002067098,-0.00711107,-0.004589084,-0.005638123,-0.007770538,-0.00440979,-0.006679535
20170629,0.004895735,0.005302252,0.005098994,0.004684448,0.006214142,0.005058289,0.006046295
20170630,0.00425393,0.00188797,0.00307095,0.001369476,-0.000553608,0.00345993,-0.001177788
20170703,0.011478108,0.009912327,0.010695217,0.001091957,-0.004348755,0.006393433,-0.006118774
20170704,0.002328707,-0.000136124,0.001096292,-0.0041008,-0.008453369,-0.004943848,-0.009162903
20170705,0.014436658,0.011165358,0.012801008,0.007644653,0.01096344,0.007663727,0.014717102
20170706,0.000303691,0.005174078,0.002738885,0.001655579,0.000114024,0.001241684,0.002267838
20170707,0.007095905,0.001443986,0.004269946,0.00171566,-0.001138687,0.003929138,-0.004001617
20170710,0.001762693,0.00080184,0.001282266,-0.001654625,-0.000613213,-0.003124237,0.002538681
20170711,-0.002836095,-0.000957828,-0.001896961,-0.002986908,0.004684448,-0.012496948,0.008026123
20170712,0.022885885,0.003440422,0.013163153,-0.001714706,-0.003265381,0.000652313,-0.002119064
20170713,0.007613104,0.003345174,0.005479139,0.006446838,0.007678986,0.002761841,0.013961792
20170714,0.005662731,-0.001394709,0.002134011,0.001321793,0.004386902,-0.003446579,0.008468628
20170717,-0.045997321,-0.043192649,-0.044594985,-0.014259338,-0.010673523,-0.041168213,0.003213882
20170718,0.028124891,0.010924427,0.019524659,0.003494263,0.00098896,0.010543823,-0.002700806
20170719,0.03117594,0.032074922,0.031625431,0.013618469,0.017059326,0.020370483,0.012794495
20170720,0.009340809,0.007080176,0.008210493,0.004299164,0.004863739,0.006587982,0.002843857
20170721,0.00486132,-0.00297623,0.000942545,-0.002120972,-0.005146027,0.004398346,-0.009841919
20170724,0.017270246,0.013138403,0.015204325,0.003896713,0.003990173,0.006694794,0.005744934
20170725,0.005362873,0.003206647,0.00428476,-0.002124786,-0.006385803,-0.002193451,-0.004257202
20170726,0.003915562,-0.00148491,0.001215326,0.001228333,-0.003808975,-0.001120567,-0.002599716
20170727,0.021604446,0.016655133,0.01912979,0.000648499,0.001836777,0.006072998,0.000161529
20170728,0.016137799,-0.001524597,0.007306601,0.001064301,0.002613068,0.005084991,-8.82E-05
20170731,0.016660291,0.025610134,0.021135212,0.006080627,0.004295349,0.013282776,0.000656605
20170801,0.007597805,-0.004179642,0.001709081,0.005992889,0.00869751,-0.001820564,0.016555786
20170802,-0.002412432,-0.007272141,-0.004842286,-0.00230217,-0.002527237,-0.005516052,-0.000437737
20170803,0.016897655,0.001059191,0.008978423,-0.003692627,-0.008781433,0.001616478,-0.012840271
20170804,0.001583745,-0.00637805,-0.002397152,-0.003314972,-0.005432129,-0.005886078,-0.006958008
20170807,0.030884221,0.017756247,0.024320234,0.005325317,0.005184174,0.012580872,0.002426147
20170808,0.004324836,-0.001777628,0.001273604,0.000736713,0.0014534,4.68E-05,0.000382662
20170809,0.016586421,0.008240595,0.012413508,-0.001919746,-0.000313282,0.005760193,-0.005619049
20170810,-0.003910631,-0.016818776,-0.010364704,-0.004219055,-0.004055023,-0.008010864,-0.003450394
20170811,-0.013703402,-0.018596467,-0.016149935,-0.016311646,-0.018447876,-0.020355225,-0.015731812
20170814,0.02699033,0.031147894,0.029069112,0.008979797,0.0129776,0.021331787,0.008247375
20170815,0.013083857,0.007547766,0.010315811,0.004295349,0.003078461,0.003515244,0.005321503
20170816,0.01235859,0.008293884,0.010326237,-0.001479149,-0.001251221,0.000639439,-0.003929138
20170817,0.006169469,0.014495736,0.010332603,0.006771088,0.005363464,0.007476807,0.003499985
20170818,0.00947896,-0.007276319,0.00110132,9.02E-05,0.000913143,-0.00287056,0.00352478
20170821,0.014982494,0.014855999,0.014919247,0.005561829,0.004383087,0.008827209,0.001361847
20170822,-0.006104625,-0.004267822,-0.005186224,0.001009941,0.00302124,-0.004341125,0.010192871
20170823,0.0031378,-0.001015217,0.001061292,-0.000766277,0.001009941,-0.008346558,0.006156921
20170824,-0.001598812,-0.005433918,-0.003516365,-0.004924774,-0.005710602,-0.006988525,-0.005031586
20170825,0.019527801,0.012597708,0.016062754,0.018341064,0.016357422,0.010818481,0.022613525
